customer_id,explanation
SYNID0200327400,"Customer SYNID0200327400, a business account, has a low risk score of 0.074449192. The negative SHAP values for `card_mean` (-0.527), `tf_entropy` (-0.190), `activity_density` (-0.120), `card_mean_to_max_ratio` (-0.111), and `account_age` (-0.045) indicate that the customer's behavior is largely in line with typical, expected patterns for their account type and age. Specifically, the average card transaction volume is not unusually high or low, transaction rhythm is predictable, activity is not excessively dense or sparse, card transaction skewness is normal, and the account age suggests established behavior. The small positive SHAP values for features like `emt_preference` (0.244), `emt_std` (0.119), and `avg_volume_to_sales` (0.096) suggest minor deviations from the norm. However, these deviations are not significant enough to trigger a high-risk alert. The `emt_preference` of 0.244, while positive, does not indicate a heavy reliance on high-risk channels as per AML relevance. Similarly, `emt_std` and `avg_volume_to_sales` are not at levels that would suggest a money mule or pass-through account. No specific red flags from the provided AML guidance are directly mapped to this customer's behavior due to the low anomaly score and the nature of the minor deviations observed."
SYNID0200937322,"Customer SYNID0200937322 has a risk score of 0.2069, indicating a low level of suspicion. The SHAP analysis reveals several features with negative SHAP values, suggesting they contribute to a lower risk profile. Notably, `card_mean_to_max_ratio` (SHAP=-1.177) indicates that the average card transaction is not significantly skewed by a single large transaction, which is a positive indicator. Similarly, `tf_entropy` (SHAP=-0.189) suggests a predictable transaction rhythm, which is less indicative of erratic, potentially illicit behavior. `max_to_avg_ratio` (SHAP=-0.039) also shows no significant deviation in maximum transaction size compared to the average. The remaining features with positive SHAP values have very small magnitudes, indicating minimal contribution to the overall risk score. For instance, `emt_std` (SHAP=0.021), `total_outbound_amount` (SHAP=0.027), and `avg_trans_volume` (SHAP=0.028) are all close to zero, suggesting no unusual patterns in payment channel usage, outbound activity, or average transaction volume. Given the low risk score and the absence of significant anomalies across key features, no specific AML red flags or typologies are triggered for this customer. The account's behavior appears consistent with normal business operations."
SYNID0200096821,"Customer SYNID0200096821 presents a moderate risk score of 0.563. The primary drivers of this score are negative SHAP values for features indicating suspicious transaction patterns. `avg_trans_volume` (SHAP=-1.007) and `total_trans_volume` (SHAP=-0.761) suggest unusually low transaction volumes, which can be a deviation from expected business activity. More critically, `total_outbound_amount` (SHAP=-0.904) shows a ratio near 1.0, indicating symmetric ""pass-through"" behavior where funds are immediately moved out of the account. This strongly aligns with the FINTRACT ML Indicator regarding accounts exhibiting a change in activity, potentially suggesting money laundering or terrorist financing. The `max_to_avg_ratio` (SHAP=-0.409) also contributes, suggesting a lack of sudden, massive layering spikes that might otherwise be expected in high-risk scenarios. Features with positive SHAP values, such as `emt_preference` (SHAP=0.262), indicate a higher proportion of transactions via EMT, a potentially higher-risk channel, but their impact is outweighed by the negative contributions. The remaining features have low SHAP values, indicating they do not significantly contribute to the risk score. The observed pass-through behavior is a common typology for shell companies or money mules."
SYNID0200040291,"Customer SYNID0200040291 has a low risk score of 0.088965666, indicating minimal suspicion. The SHAP values for features like `activity_density` (-0.042) and `eft_median` (0.012) suggest normal account behavior. Features contributing slightly to the risk score, such as `avg_trans_volume` (0.043), `max_to_avg_ratio` (0.054), `eft_std` (0.056), `velocity_variance_7day` (0.062), `emt_min` (0.067), `total_outbound_amount` (0.073), `tf_kurt` (0.078), `total_trans_volume` (0.086), `emt_mean` (0.086), `disc_tf` (0.087), `revenue_capacity_ratio` (0.089), `card_mean` (0.092), `avg_volume_to_sales` (0.098), `tf_entropy` (0.100), `consistency_score` (0.112), `card_sum` (0.114), `eft_coef_variation` (0.115), `account_age` (0.116), `emt_std` (0.136), `card_mean_to_max_ratio` (0.229), and `emt_preference` (0.231), do not individually or collectively present a significant deviation from expected patterns that would trigger a high-risk alert. The absence of extreme values in these features, particularly those related to transaction volume, frequency, and channel preference, does not align with typologies such as money muling or structuring. The low overall risk score is supported by the lack of any red flags from the provided FIA or FINTRACT guidance."
SYNID0200072882,"Customer SYNID0200072882 has a risk score of 0.195732683, indicating a low level of suspicion. The SHAP values for most features are negative, suggesting they are contributing to a lower risk assessment. For instance, `card_mean_to_max_ratio` with a SHAP of -1.261 indicates that the average card transaction is not significantly skewed by a single large transaction, which is a positive indicator. Similarly, `avg_volume_to_sales` (-0.264) and `total_trans_volume` (-0.054) suggest that transaction volumes are in line with the customer's stated income or sales, and not excessively high. Features with small positive SHAP values, such as `emt_preference` (0.210), `emt_std` (0.117), and `consistency_score` (0.118), are contributing slightly to the risk score but not to a concerning degree. `emt_preference` at 0.210, while positive, does not represent a ""heavy preference for high-risk channels"" as per AML relevance, and its contribution is minor. The `account_age` (0.085) is also a positive factor, as older accounts are generally considered less risky. Overall, the model's assessment is that the observed transaction patterns for SYNID0200072882 do not align with common AML red flags or typologies."
SYNID0200581279,"Customer SYNID0200581279 has a risk score of 0.206314421. This score indicates a low level of suspicion. The SHAP values for most features are positive but small, suggesting minor deviations from expected behavior. For instance, `card_mean_to_max_ratio` (SHAP=0.221) indicates some skewness in card transactions, but not to a degree that suggests a single massive illicit transaction. Similarly, `emt_preference` (SHAP=0.102) shows a slight preference for EMT transactions, but not a ""heavy preference for high-risk channels"" as per AML relevance. Features like `consistency_score` (SHAP=0.099) and `avg_volume_to_sales` (SHAP=0.091) also contribute slightly to the risk score, indicating some minor inconsistencies or volume metrics that warrant monitoring but do not trigger immediate concern. The negative SHAP values for `eft_coef_variation` (-0.067), `emt_min` (-0.044), and `activity_density` (-0.042) suggest that the customer's behavior is actually more stable and less volatile than the average, which is a positive indicator. Given the low overall risk score and the nature of the contributing features, no specific AML red flags or typologies are strongly indicated at this time."
SYNID0200528299,"Customer SYNID0200528299 has a risk score of 0.252882739, indicating a low level of suspicion. The primary driver for this score is the `emt_preference` feature with a SHAP value of -0.720. This negative SHAP value suggests that the customer does *not* exhibit a heavy preference for high-risk channels like wires or Western Union, which is a positive indicator for AML compliance. Other features contributing minimally to the risk score include `consistency_score` (-0.047), `emt_std` (-0.035), and `eft_coef_variation` (-0.027), all with negative SHAP values, indicating normal or low-risk behavior in these areas. Features with positive SHAP values, such as `emt_mean` (0.027), `eft_median` (0.038), `revenue_capacity_ratio` (0.058), and `emt_min` (0.061), contribute slightly to the overall score but do not represent significant anomalies. The `account_age` (0.082) and `total_outbound_amount` (0.084) also have positive SHAP values, but their impact is minor. Given the low overall risk score and the predominantly negative SHAP values for key AML-relevant features, no specific AML red flags or typologies are triggered for this customer. The behavior observed does not align with typologies such as money mules, elder financial exploitation, or chaotic money movement."
SYNID0200356062,"Customer SYNID0200356062 has a risk score of 0.2897, indicating a low level of suspicion. The SHAP values for the majority of features are negative and close to zero, suggesting that these factors contribute to a lower risk profile. For instance, `consistency_score` with a SHAP of -1.557 indicates high consistency in transactions, which is not typical of illicit activity. Similarly, `card_mean_to_max_ratio` (-0.929) and `activity_density` (-0.446) suggest normal transaction patterns and moderate activity, respectively. Features like `eft_coef_variation` (-0.010), `eft_median` (0.027), `max_to_avg_ratio` (0.043), `avg_trans_volume` (0.050), `eft_std` (0.061), `tf_kurt` (0.062), `card_mean` (0.064), `emt_mean` (0.067), `total_outbound_amount` (0.067), `emt_min` (0.069), `revenue_capacity_ratio` (0.072), `card_sum` (0.077), `velocity_variance_7day` (0.081), `account_age` (0.088), `total_trans_volume` (0.089), `avg_volume_to_sales` (0.094), `disc_tf` (0.095), `emt_std` (0.118), and `emt_preference` (0.186) all have SHAP values close to zero or positive but small, indicating they do not significantly deviate from expected behavior for a legitimate business account. The absence of strong positive SHAP values for features commonly associated with money laundering typologies, such as high transaction volumes, unusual transaction rhythms, or a strong preference for high-risk channels, further supports the low risk score. No specific AML red flags from the provided guidance are triggered by the observed behavior."
SYNID0200826459,"Customer SYNID0200826459 has a low risk score of 0.063550211, indicating minimal suspicion. The negative SHAP values for `total_trans_volume` (-0.237) and `total_outbound_amount` (-0.029) suggest that the customer's transaction volume and outbound activity are lower than what the model typically associates with suspicious behavior. Similarly, `disc_tf` (-0.019) indicates a lack of chaotic money movement. Features like `velocity_variance_7day` (0.008), `max_to_avg_ratio` (0.025), `eft_std` (0.031), `eft_median` (0.045), `avg_trans_volume` (0.056), `emt_min` (0.065), `tf_kurt` (0.067), `account_age` (0.071), `emt_mean` (0.072), `card_mean` (0.080), `activity_density` (0.087), `eft_coef_variation` (0.088), `revenue_capacity_ratio` (0.094), `avg_volume_to_sales` (0.103), `consistency_score` (0.111), `card_sum` (0.116), `emt_std` (0.130), `tf_entropy` (0.136), `card_mean_to_max_ratio` (0.230), and `emt_preference` (0.268) all have positive SHAP values but are relatively small, indicating that while these features contribute to the overall score, their impact is minimal and does not push the customer into a high-risk category. The low SHAP values across these features suggest that the customer's transaction patterns are within normal parameters and do not exhibit characteristics of common AML typologies such as money muling or structuring. No relevant AML red flags from FIA or FINTRACT ML Indicators are triggered by the observed behavior."
SYNID0200568454,"Customer SYNID0200568454 has a risk score of 0.634799519, indicating a moderate level of suspicion. The most significant contributing factors to this score are: `total_trans_volume` (SHAP=-0.930), `max_to_avg_ratio` (SHAP=-0.865), and `disc_tf` (SHAP=-0.830). The negative SHAP values for these features suggest that the observed behavior deviates significantly from what is considered normal or expected. Specifically, `total_trans_volume` and `max_to_avg_ratio` indicate potentially massive transaction volumes and sudden, large spikes that deviate from average, aligning with typologies of structuring or layering to obscure illicit funds. The `disc_tf` feature, with its strongly negative SHAP value, points to chaotic and uncharacteristic money movement lacking natural spending patterns, which can be indicative of money mule activity or sophisticated layering schemes. `revenue_capacity_ratio` (SHAP=-0.817) and `velocity_variance_7day` (SHAP=-0.814) further contribute to the suspicion by suggesting that transaction volumes may be disproportionate to stated income or that activity is highly volatile and uncharacteristic. These combined anomalies suggest a potential for money laundering or terrorist financing activities, possibly involving complex transaction patterns designed to evade detection. Features with low SHAP values, such as `emt_std` (SHAP=-0.039) and `eft_coef_variation` (SHAP=-0.034), indicate that the customer's behavior regarding specific payment channels is largely within expected statistical norms and does not contribute significantly to the overall risk score."
SYNID0200427693,"Customer SYNID0200427693 has a risk score of 0.182958457, indicating a low level of suspicion. The SHAP analysis reveals several features contributing to this low score. Features like `emt_min` (SHAP=-0.186), `total_trans_volume` (SHAP=-0.171), and `eft_std` (SHAP=-0.054) have negative SHAP values, suggesting their observed behavior is consistent with the baseline statistical profile of the account and does not deviate significantly from normal patterns. Similarly, `account_age` (SHAP=-0.047) being older suggests less risk, as per AML relevance. Features with small positive SHAP values, such as `card_mean_to_max_ratio` (SHAP=0.223) and `emt_preference` (SHAP=0.230), are the primary drivers of the score. However, their values are not extreme enough to trigger a high-risk alert. For instance, `card_mean_to_max_ratio` being 0.223 indicates that while there might be some skewness in card transactions, it does not suggest a single, massive illicit transaction heavily distorting the average behavior. `emt_preference` at 0.230 suggests a moderate preference for EMT transactions, not a suspicious heavy reliance on high-risk channels. The overall low score is due to the absence of significant negative indicators and the moderate positive contributions from these features not reaching a critical threshold. No specific red flags from the provided AML guidance are directly mapped as the observed anomalies are not severe enough to align with typologies like elder financial exploitation or money mule behavior."
SYNID0200464860,"Customer SYNID0200464860 has a risk score of 0.224608598, indicating a low level of suspicion. The negative SHAP values for `emt_preference` (-0.560), `eft_median` (-0.332), and `tf_kurt` (-0.197) suggest that the customer's transaction behavior deviates positively from patterns associated with high-risk activities. Specifically, a low `emt_preference` indicates a lack of heavy reliance on high-risk channels like wires or Western Union, which is a positive indicator. The `eft_median` and `tf_kurt` values being within normal statistical profiles further reduce suspicion. Similarly, `account_age` (-0.159) being older suggests a more established customer, less likely to be involved in illicit activities, as per AML relevance. Other features with negative SHAP values, such as `emt_std`, `eft_coef_variation`, and `emt_mean`, also contribute to a lower risk profile by indicating normal transaction patterns. Features with small positive SHAP values, like `activity_density` (0.064), `velocity_variance_7day` (0.065), and `eft_std` (0.068), show minor deviations but are not significant enough to raise substantial concern given the overall low risk score. The `card_mean_to_max_ratio` (0.211) being high suggests that individual card transactions do not disproportionately skew the average, indicating a lack of sudden, massive layering spikes. The overall low risk score is primarily driven by the absence of strong indicators for common AML typologies such as money mules, elder financial exploitation, or chaotic money movement."
SYNID0200559935,"Customer SYNID0200559935 has a risk score of 0.461, indicating a moderate level of suspicion. The most significant negative SHAP values, indicating behaviors that reduce suspicion, are associated with `disc_tf` (-0.890), `card_mean_to_max_ratio` (-0.843), and `total_trans_volume` (-0.635). These suggest that the account exhibits a relatively smooth transaction pattern, no single large transaction disproportionately affecting the average, and a moderate total transaction volume, all of which are generally less indicative of illicit activity. The negative SHAP for `account_age` (-0.562) implies the account is not particularly old, which statistically can be associated with slightly higher risk, but its negative contribution here suggests it's not a strong driver of suspicion for this customer. Similarly, `total_outbound_amount` (-0.537) indicates a lack of concerning pass-through behavior.

However, several features with positive SHAP values contribute to the overall risk score. While not extremely high, `emt_preference` (0.217) shows a moderate preference for EMT transactions, which can be a higher-risk channel. `tf_entropy` (0.109) and `consistency_score` (0.084) also contribute positively, suggesting some unpredictability or inconsistency in transaction rhythms, which can be associated with money laundering typologies involving structuring or unusual activity patterns. The `avg_volume_to_sales` (0.086) and `card_sum` (0.096) also contribute slightly to the risk.

The combination of these factors, particularly the moderate preference for EMT and some level of transactional inconsistency, does not directly map to the provided FIA or FINTRACT red flags, which focus on specific scenarios like multiple entities with shared directors, significant age disparities with digital asset use, or complex digital asset transactions. Therefore, while the score is elevated, it does not strongly align with the explicit red flags provided, suggesting the anomalies are more subtle and do not fit the defined typologies."
SYNID0200560342,"Customer SYNID0200560342 has a low risk score of 0.099603553, indicating minimal suspicion. The negative SHAP value for `tf_entropy` (-0.353) suggests a predictable transaction rhythm, which is not indicative of illicit activity. Features like `emt_std` (0.016), `eft_median` (0.025), `eft_std` (0.046), `emt_min` (0.056), `emt_mean` (0.068), and `card_mean` (0.081) all have small positive SHAP values, indicating that their deviation from the baseline statistical profile is minimal and does not raise concerns. Similarly, `max_to_avg_ratio` (0.039), `avg_trans_volume` (0.061), `velocity_variance_7day` (0.067), `total_outbound_amount` (0.078), `account_age` (0.081), `disc_tf` (0.084), `tf_kurt` (0.085), `total_trans_volume` (0.086), `avg_volume_to_sales` (0.087), `revenue_capacity_ratio` (0.091), `eft_coef_variation` (0.101), `card_sum` (0.109), `activity_density` (0.110), and `consistency_score` (0.113) all have low SHAP values, suggesting that the customer's transaction volumes, activity patterns, and account age are within normal parameters and do not exhibit characteristics of money laundering typologies such as layering, structuring, or high-frequency transactions. The `emt_preference` (0.165) and `card_mean_to_max_ratio` (0.229) are the highest SHAP values but still below the threshold for significant concern, indicating no strong preference for high-risk channels or a single dominant transaction skewing behavior. No relevant AML red flags from FIA or FINTRACT are triggered by this customer's profile."
SYNID0200488915,"Customer SYNID0200488915 has a risk score of 0.4398, indicating a moderate level of suspicion. The SHAP analysis reveals several features contributing to this score. A negative SHAP value for `avg_volume_to_sales` (-0.229) suggests that the customer's transaction volume is appropriately aligned with their stated income or sales, reducing suspicion. Similarly, `revenue_capacity_ratio` (-0.184), `card_sum` (-0.137), `emt_std` (-0.115), `tf_kurt` (-0.112), `total_trans_volume` (-0.101), and `card_mean` (-0.088) all have negative SHAP values, indicating that these metrics are within expected ranges and do not contribute significantly to the risk score.

However, several features with positive SHAP values contribute to the elevated risk. `emt_preference` (0.225) is a significant contributor, indicating a potentially suspicious heavy preference for high-risk channels like EMTs. This aligns with AML typologies involving the use of high-risk payment methods. `card_mean_to_max_ratio` (0.201) also contributes positively, suggesting that a single large card transaction might be skewing the account's average behavior, potentially indicative of layering or structuring. `consistency_score` (0.104) and `activity_density` (0.134) are also positive, with higher activity density potentially signaling a dedicated money mule or shell company. `tf_entropy` (0.123) being positive suggests less predictable transaction rhythms, which can be a characteristic of illicit activity. `account_age` (0.058) and `eft_coef_variation` (0.086) are also positive, though their impact is less pronounced. The positive SHAP values for `max_to_avg_ratio` (0.042) and `avg_trans_volume` (0.037) suggest some deviation from normal transaction sizes and frequencies. The positive SHAP for `total_outbound_amount` (0.036) could indicate pass-through behavior. Overall, the combination of a strong preference for high-risk channels and potential anomalies in transaction size and consistency warrants further investigation."
SYNID0200051580,"Customer SYNID0200051580 has a risk score of 0.378, indicating a moderate level of suspicion. The negative SHAP values for `revenue_capacity_ratio` (-0.642), `total_trans_volume` (-0.500), `eft_coef_variation` (-0.374), `max_to_avg_ratio` (-0.324), and `disc_tf` (-0.263) suggest that the customer's behavior deviates from patterns typically associated with higher risk. Specifically, a lower `revenue_capacity_ratio` and `total_trans_volume` are less indicative of suspicious activity. The negative `eft_coef_variation` and `max_to_avg_ratio` suggest stable transaction patterns rather than unusual spikes or structuring. `disc_tf` being negative indicates a more predictable transaction flow.

However, several features with positive SHAP values contribute to the elevated risk score. `emt_preference` (0.280) indicates a notable preference for EMT (Electronic Money Transfer) transactions, which can be a higher-risk channel. This aligns with FINTRACT ML Indicators regarding changes in account activity and potentially a move towards less transparent transaction methods. `card_mean_to_max_ratio` (0.221) suggests that while the average card transaction is not excessively high relative to the maximum, there might be some skewness. `account_age` (0.116) being positive suggests the account is relatively new, which can be a factor in some typologies. `consistency_score` (0.102) being positive indicates lower consistency, implying more erratic behavior. The positive `tf_entropy` (0.139) suggests a less predictable transaction rhythm, which can be a characteristic of illicit activity. While not directly mapping to the provided red flags, these positive SHAP values collectively contribute to the moderate risk assessment, suggesting potential for unusual money movement or channel preference that warrants further monitoring. The overall score is not higher due to the strong negative contributions from volume and capacity-related features."
SYNID0200619829,"Customer SYNID0200619829 has a risk score of 0.271412386, indicating a low level of suspicion. The most influential negative SHAP values, indicating behavior that reduces risk, are associated with `card_mean_to_max_ratio` (-0.794) and `card_mean` (-0.120). These suggest that card transactions are not being skewed by unusually large single transactions and that the average card transaction volume is within a normal range, contributing to a lower risk profile. Other features with negative SHAP values, such as `avg_volume_to_sales` (-0.068) and `emt_min` (-0.066), further support this, indicating that transaction volumes are proportionate to stated income and that the minimum EMT transaction is not unusually small. Features with small positive SHAP values, like `emt_preference` (0.215), `activity_density` (0.142), and `consistency_score` (0.110), are not significant enough to elevate the overall risk score. The `emt_preference` of 0.215, while positive, does not represent a heavy reliance on high-risk channels. `activity_density` of 0.142 and `consistency_score` of 0.110 are also within acceptable ranges, not signaling bot-like activity or erratic behavior. The `account_age` of 0.102 is also a mitigating factor, as older accounts are generally considered less risky. Given the low impact of all contributing features, this customer does not trigger any specific AML red flags or typologies from the provided guidance."
SYNID0200540168,"Customer SYNID0200540168 has a risk score of 0.170627093, indicating a low level of suspicion. The most influential negative SHAP value is -0.529 for `card_mean_to_max_ratio`, suggesting that the average card transaction is significantly lower than the maximum, which is a positive indicator against the risk of a single large illicit transaction skewing the account's behavior. Similarly, `revenue_capacity_ratio` (-0.163) and `avg_volume_to_sales` (-0.123) have negative SHAP values, indicating that transaction volumes are well within the customer's stated financial capacity, mitigating concerns related to money mule activity or disproportionate spending. Other features with negative SHAP values, such as `total_trans_volume` (-0.039), `velocity_variance_7day` (-0.002), and `tf_kurt` (-0.002), further reinforce the low risk profile by indicating normal transaction volumes, stable velocity, and a lack of extreme, isolated spikes in activity. Features with small positive SHAP values, such as `emt_preference` (0.235) and `account_age` (0.139), contribute minimally to the overall risk score. While `emt_preference` could indicate a preference for high-risk channels, its positive SHAP value is offset by other mitigating factors. The `account_age` being older is generally considered a positive indicator, reducing the likelihood of illicit activity. The low overall risk score suggests that the observed transaction patterns do not align with common AML red flags such as those related to high-risk digital asset transactions, unusual account activity changes, or structuring, as outlined in FIA Red Flag Indicators and FINTRACT ML Indicators. The customer's behavior appears consistent with normal business operations rather than indicative of money laundering or terrorist financing typologies."
